Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request - GET,10,132,122,140,4.83,0.000%,.36846,1.17,0.13,3257.0
HTTP Request - Post,10,259,253,264,3.26,0.000%,.36685,0.19,0.20,519.0
User Login - POST ,10,347,322,355,9.71,0.000%,.36562,0.24,0.18,660.0
Booking - GET,10,133,127,138,3.80,0.000%,.36849,0.38,0.14,1056.0
TOTAL,40,218,122,355,91.12,0.000%,1.36045,1.82,0.61,1373.0
